# ==============================================================================
# ABARROTES1 - MINI NUBE INTERNAL DATABASE (GOOGLE SHEETS COMPATIBLE CSV)
# GENERATED BY ALL 11 AI AGENTS AT: 2026-08-16T19:51:50.913Z
# TENANT: TENANT_CDMX_01 | STORE: Abarrotes Don Pepe (CDMX Centro)
# SOURCE OF TRUTH: Universal Product Database & Wholesale Scrapers CDMX
# ==============================================================================

=== TABLE: CATALOGO_PRODUCTOS_MAESTRO ===
ean,gtin,upc,sku,product_name,normalized_name,brand,category,presentation,package,unit_type,active,last_seen_at
"7501055301088","7501055301088","7501055301088","CC-600-PET","Coca-Cola Original 600 ml","coca-cola original 600 ml","Coca-Cola","Bebidas","600 ml Botella PET","24 pza","pieza","true","2026-08-16T14:45:07.291Z"
"7501055900039","7501055900039","7501055900039","ALP-LECHE-1L","Leche Alpura Clásica Entera 1L","leche alpura clásica entera 1l","Alpura","Lácteos y Huevo","1 Litro Tetrapak","12 pza","pieza","true","2026-08-16T14:45:07.291Z"
"7501020565042","7501020565042","7501020565042","HSJ-1KG","Huevo Blanco San Juan 1kg","huevo blanco san juan 1kg","San Juan","Lácteos y Huevo","1 kg A granel / Cono","1 pza","kilo","true","2026-08-16T14:45:07.291Z"
"7501026004605","7501026004605","7501026004605","ROMA-1KG","Detergente en Polvo Roma 1kg","detergente en polvo roma 1kg","La Corona","Limpieza del Hogar","Bolsa 1 kg","10 pza","pieza","true","2026-08-16T14:45:07.291Z"
"7501032900012","7501032900012","7501032900012","AC-123-1L","Aceite Vegetal Comestible 1-2-3 1L","aceite vegetal comestible 1-2-3 1l","1-2-3","Abarrotes","Botella 1 Litro","12 pza","pieza","true","2026-08-16T14:45:07.291Z"
"0041789001956","0041789001956","0041789001956","MAR-CAM-64G","Sopa Instantánea Maruchan Vaso Sabor Camarón 64g","sopa instantánea maruchan vaso sabor camarón 64g","Maruchan","Abarrotes","Vaso 64 gr","12 pza","pieza","true","2026-08-16T14:45:07.291Z"
"0661440000014","0661440000014","0661440000014","ZULKA-1KG","Azúcar Estándar Zulka 1kg","azúcar estándar zulka 1kg","Zulka","Abarrotes","Bolsa 1 kg","10 pza","pieza","true","2026-08-16T14:45:07.291Z"
"3225","3225","3225","3225","Trigon Huevo Blanco kg","trigon huevo blanco kg","Trigon","Lácteos y Huevo","1 kg A granel","1 pza","kilo","true","2026-08-16T14:46:35.984Z"
"2930","2930","2930","2930","Alpura Leche Deslactosada Alpura 1 Litro","alpura leche deslactosada alpura 1 litro","Alpura","Lácteos y Huevo","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-16T14:46:35.986Z"
"429","429","429","429","Nutri Fórmula Láctea Nutri Tetra 1 Litro","nutri fórmula láctea nutri tetra 1 litro","Nutri","Lácteos y Huevo","1 Litro Tetrapak/Botella","1 pza","litro","true","2026-08-16T14:46:35.988Z"
